"VESSEL","STATION","LAT_DD","LON_DD","PacificCod","Halibut","GreatSculpin","YellowfinSole","Pollock","StarryFlounder","RockSole","Other"
"Vesteraalen","N1",57.794907,-164.038592,0,0,0,0.65,0,1.35,2.43,2.52
"Vesteraalen","N10",56.301562,-164.015585,36.28,1.46,0,0,70.22,0,14.8932563405797,87.5267436594203
"Vesteraalen","N11",56.135481,-164.013143,54.46,2.62,0,1.01,72.07,0,40.84,58.1
"Vesteraalen","N12",55.969366,-164.010723,20.21,4.06,0,0.71,26.64,0,29.09,60.33
"Vesteraalen","N13",55.803215,-164.008325,10.84,15.02,0,0,474.94,0,6.41,53.66
"Vesteraalen","N14",55.637028,-164.005948,40,39.25,0,0,25.82,0,1.62,213.11
"Vesteraalen","N15",55.470803,-164.003592,26.74,3.79,0,0,101.74,0,1.4,111.31
"Vesteraalen","N16",55.30454,-164.001257,16.11,0.58,0,0,64.43,0,44.3598492840995,77.4501507159005
"Vesteraalen","N17",55.138237,-163.998942,28.48,0,0,0,7.41,0,62.06,14.36
"Vesteraalen","N2",57.62909,-164.03594,0,0,0,0.9,0,5.49,1.96,16.99
"Vesteraalen","N3",57.463247,-164.033313,0,0,0,15.1,1.36,14.09,9.13,61.12
"Vesteraalen","N4",57.297379,-164.03071,0,0,0,11.42,8.67,1.83,17.88,39.41
"Vesteraalen","N5",57.131484,-164.028131,0.38,0,0,30.77,39.37,3.11,29.25,31.76
"Vesteraalen","N6",56.96556,-164.025575,9.07,0,0,75.9455813953488,44.75,0,30.4658139534884,16.3086046511628
"Vesteraalen","N7",56.799607,-164.023043,6.37,0,0,82.650665929329,78.52,0,101.770919970506,21.4394141001645
"Vesteraalen","N8",56.633624,-164.020535,16.72,0,0,17.208870292887,62.59,0,35.9782426778243,28.5728870292887
"Vesteraalen","N9",56.467609,-164.018048,89.79,0.61,0,2.36,110.33,0,15.65,30.06
"Vesteraalen","O1",57.799886,-163.570139,0.07,0,0,2.32,0,0.77,1.7,2.1
"Vesteraalen","O10",56.306498,-163.566152,14.41,0,0,3.79041009463722,151.96,0,16.751167192429,100.018422712934
"Vesteraalen","O11",56.140413,-163.565729,10.37,4.08,0,0,64.97,0,85.4994287184766,62.4305712815234
"Vesteraalen","O12",55.974294,-163.56531,23.98,2.41,0,0,60.46,0,70.63,54.94
"Vesteraalen","O13",55.808139,-163.564894,18.62,2.76,0,5.26725352112676,126.86,0,79.0088028169014,134.403943661972
"Vesteraalen","O14",55.641947,-163.564482,29.48,1.3,0,0,30.76,0,56.2767728237792,115.753227176221
"Vesteraalen","O15",55.475718,-163.564074,4.01,0,1.09,5.76753768844221,41.54,26.3908542713568,34.9547738693467,149.366834170854
"Vesteraalen","O16",55.309451,-163.563669,14.74,0.24,5.86,0.94,24.19,1.42,63.08,1.15
"Vesteraalen","O17",55.143145,-163.563268,0,0,0,0,0,23.81,48.99,13.06
"Vesteraalen","O2",57.634064,-163.569679,0.27,0,0,1.74,0.04,7.07,2.84,46.13
"Vesteraalen","O3",57.468216,-163.569224,0.31,0.52,0,14.08,0,11.06,11.19,72.6
"Vesteraalen","O4",57.302343,-163.568773,4.81,0,0,15.2340057430007,3.79,26.3090344580043,39.8140272792534,66.4029325197416
"Vesteraalen","O5",57.136443,-163.568326,5.12,0,2.85,18.34,5.93,2.47,20.32,13.72
"Vesteraalen","O6",56.970514,-163.567883,4.13,0,0,7.56,12.34,0.82,15.54,2.7
"Vesteraalen","O7",56.804557,-163.567445,5.46,0,0,4.76,29.62,0,11.22,4.02
"Vesteraalen","O8",56.638569,-163.56701,13.74,0,0,21,60.73,0,10.45,27.52
"Vesteraalen","O9",56.47255,-163.566579,76.86,1.42,0.96,22.1612205188679,208.98,0,63.6184905660377,17.7202889150943
"Vesteraalen","P1",57.799376,-163.101616,0.16,0,0,0.83,0.26,2.92,2.95,3.7
"Vesteraalen","P10",56.306008,-163.116655,0,1.82,0,4.91,17.25,0,28.5,63.8
"Vesteraalen","P11",56.139925,-163.118252,0,0.44,0,8.32671021377672,180.12,0,28.2987470308789,78.5045427553444
"Vesteraalen","P12",55.973808,-163.119833,4.31,0,0,0,69.05,0,144.637491638796,113.862508361204
"Vesteraalen","P13",55.807655,-163.121401,6.67,11.63,4.69,0,36.28,0,91.9265284974093,103.473471502591
"Vesteraalen","P14",55.641466,-163.122955,1,1.36,1.34,49.2997752808989,10.5,0,120.938511235955,107.291713483146
"Vesteraalen","P16",55.308974,-163.126021,0,0,0,0.01,0,0.42,1.56,1.16
"Vesteraalen","P2",57.633556,-163.103349,0.02,0,0,1.01,0.1,0.88,3.16,8.03
"Vesteraalen","P3",57.467711,-163.105067,0.33,0,0,3.33,0.06,9.53,16.36,21.03
"Vesteraalen","P4",57.30184,-163.106768,0.14,0,1.21,34.052992222677,4.74,15.3112075317233,17.0084404420794,33.9773598035203
"Vesteraalen","P5",57.135942,-163.108454,0,0,0,35.9611292246521,1.27,9.96007952286282,40.7839045725646,58.0648866799205
"Vesteraalen","P6",56.970016,-163.110125,0.06,0,0,49.0943330349149,0.62,5.20484333034915,94.7422157564906,17.0886078782453
"Vesteraalen","P7",56.804061,-163.11178,2.03,0.75,0,82.6953027730617,0.11,0,233.854623655914,43.6300735710243
"Vesteraalen","P8",56.638075,-163.11342,12.09,2.12,7.95,30.2533159268929,45.86,0,312.572976501305,25.4237075718016
"Vesteraalen","P9",56.472058,-163.115045,28.95,0,9.32,42.0299451553931,142.7,0,65.2405118829982,52.3395429616088
"Vesteraalen","Q1",57.797112,-162.633129,0.07,0,0,0.53,0,1.66,1.15,1.42
"Vesteraalen","Q10",56.303833,-162.667192,0,0,0,25.16,27.34,8.49,75.42,77.38
"Vesteraalen","Q11",56.137759,-162.670806,1.01,0,0,3.98,11.1,5.89,136.05,64.86
"Vesteraalen","Q12",55.971651,-162.674389,3.84,0,0,21.4669666490206,170.94,12.5083112758073,235.629539438857,49.6951826363155
"Vesteraalen","Q13",55.805507,-162.677939,4.39,0.41,1.62,10.8751923076923,7.73,57.35125,166.205769230769,11.4777884615385
"Vesteraalen","Q14",55.639327,-162.681458,0,0.33,0.32,7.74,0.14,7.53,19.25,1.56
"Vesteraalen","Q15",55.473109,-162.684946,0,0,0.15,5,0,0.44,2.79,3.32
"Vesteraalen","Q2",57.631302,-162.637056,0.04,0,0,0.13,0.03,0.28,0.71,0.86
"Vesteraalen","Q3",57.465467,-162.640946,0,0,0,0.48,0.02,0.61,1.91,2.73
"Vesteraalen","Q4",57.299606,-162.644799,0,0,0,1,0.6,1.48,3.24,7.83
"Vesteraalen","Q5",57.133718,-162.648617,0,0,0.7,20.6094277620397,0.85,13.139059490085,35.0228441926346,22.8186685552408
"Vesteraalen","Q6",56.967802,-162.652401,0,0.29,0.37,57.8187875507443,3.01,28.3277158322057,86.5536779431664,59.0298186738836
"Vesteraalen","Q7",56.801856,-162.656149,0.55,0.33,3.08,343.949950859951,6.66,33.168687960688,58.9795331695332,51.471828009828
"Vesteraalen","Q8",56.63588,-162.659863,20.69,6.55,0,111.008577504726,49.72,0,130.030127599244,89.0912948960302
"Vesteraalen","Q9",56.469873,-162.663544,7.85,1.38,0,4.86141767323586,28,0,183.392790845518,90.035791481246
"Vesteraalen","R1",57.793094,-162.164726,0.01,0.07,0,1.09,0.02,1.9,4.9,1.29
"Vesteraalen","R10",56.299971,-162.217801,17.46,0,6.46,48.3178654292343,277.1,12.1809744779582,242.19837587007,48.8827842227378
"Vesteraalen","R11",56.133914,-162.223434,24,7.17,5.52,13.799271991911,17.92,0,173.536299292214,27.4444287158746
"Vesteraalen","R12",55.967823,-162.229016,16.48,2.49,3.81,56.4013339145597,237.48,0,200.913897122929,33.6547689625109
"Vesteraalen","R13",55.801695,-162.234548,0.03,0.51,2.13,1.54,2.26,0,24.73,5.2
"Vesteraalen","R2",57.627302,-162.170844,0.1,0,0,0.37,0.04,0.16,2.06,2.37
"Vesteraalen","R3",57.461485,-162.176905,0,0,0,0.92,0.06,0,2.28,3.49
"Vesteraalen","R4",57.295642,-162.18291,0,0,0,0,0.01,0,3.91,2.77
"Vesteraalen","R5",57.129772,-162.18886,0.43,0.15,0,8.9,0,18.25,24.3,11.01
"Vesteraalen","R6",56.963873,-162.194754,0,0,0.38,261.03,8.13,20.32,56.92,50.135
"Vesteraalen","R7",56.797944,-162.200595,0.08,0,0.84,377.004186046512,35.04,0,47.1925581395349,74.2432558139535
"Vesteraalen","R8",56.631985,-162.206383,4.5,0,1.26,382.146669565217,2.48,0,107.797408695652,98.6459217391304
"Vesteraalen","R9",56.465995,-162.212118,33.02,2.76,2.65,27.4445371775417,186.27,0,396.769594623889,69.3678681985693
"Vesteraalen","S1",57.787321,-161.696454,0.01,0.14,0,0.96,0.02,5,23.21,1.69
"Vesteraalen","S10",56.294425,-161.768526,2.59,0.12,0,16.41,10.52,156.76,147.48,8.19
"Vesteraalen","S11",56.128392,-161.776174,0.05,1.47,0,3.29,0.01,2.17,65.01,0.77
"Vesteraalen","S12",55.962323,-161.783755,0.32,0.17,0,0,0.19,0.27,3.38,0
"Vesteraalen","S2",57.621556,-161.704761,0,0.12,0,2.99,0.05,8.63,26.01,5.61
"Vesteraalen","S3",57.455765,-161.712992,0,0.35,0,1.45,0,1.38,2.52,3.91
"Vesteraalen","S4",57.289948,-161.721146,0.01,0.18,0,3.45,0.04,13.53,0.65,18.7
"Vesteraalen","S5",57.124102,-161.729225,0,0,0,20.44,1.89,4.3,17.16,12.43
"Vesteraalen","S6",56.958229,-161.737229,1.57,0.75,4.66,34.32,12.73,0.78,70.55,20.34
"Vesteraalen","S7",56.792325,-161.745161,32.35,0,3.32,2135.63727722772,142.74,0,138.872722772277,8.24
"Vesteraalen","S8",56.62639,-161.75302,14.94,0,0,327.662146788991,107.39,0,104.778724770642,171.219128440367
"Vesteraalen","S9",56.460424,-161.760808,28.19,0,8.99,130.920563492064,83.68,9.65403703703704,51.7180555555556,184.607343915344
"Vesteraalen","T1",57.779796,-161.228357,0.01,0,0,1.62,0.02,2.38,13.96,4.16
"Vesteraalen","T10",56.287194,-161.319406,6.6,0.77,0.91,3.61,3.06,7.26,31.51,3.61
"Vesteraalen","T11",56.121192,-161.329069,0.01,0.16,0,0.85,0,0,33.43,1.83
"Vesteraalen","T2",57.614065,-161.238852,0.13,0.18,0.18,2.62,0.01,8.46,26.86,8.37
"Vesteraalen","T3",57.448308,-161.24925,0,0.91,0.47,32.45,0,8.11,27.23,36.69
"Vesteraalen","T4",57.282524,-161.259551,0,0.45,5.7,74.1,3.42,7.21,38.21,28.44
"Vesteraalen","T5",57.116712,-161.269757,0,0.37,3.78,1813.76645593469,27.32,74.7811241364873,176.362419928826,53.27
"Vesteraalen","T6",56.95087,-161.279869,2.25,0.43,0,765.903905540418,24.82,0,499.992007266122,59.6640871934605
"Vesteraalen","T7",56.784999,-161.289889,4.12,0.61,16.25,55.36,41.76,17.49,202.6,13.01
"Vesteraalen","T8",56.619097,-161.299817,3.29,0,3.6,185.980148406809,62.87,32.3791008293322,193.721641204714,31.3191095591445
"Vesteraalen","T9",56.453162,-161.309656,0.86,0.84,2.51,10.5,13.75,5.35,199.08,3.1
"Vesteraalen","U1",57.77052,-160.760484,0.07,0.06,0.21,0.44,0.03,1.36,29.16,1.35
"Vesteraalen","U10",56.278279,-160.870484,0.02,0,0,0.5,0.08,0,0.38,2.34
"Vesteraalen","U11",56.112315,-160.882158,0.08,0,0,0.36,0.1,0.51,0.14,0.21
"Vesteraalen","U2",57.60483,-160.773163,1.05,0.61,1.7,7.64,0,6.13,36.47,19.46
"Vesteraalen","U3",57.439115,-160.785724,0,1.68,6.53,12.02,2.61,18.13,63.94,48.89
"Vesteraalen","U4",57.273372,-160.798169,1.35,1.72,18.3,41.03,0,7.14,119.12,34.05
"Vesteraalen","U5",57.1076,-160.810499,0.18,0.49,5.41,177.265905112851,0.87,3.07173422385997,76.882823583602,17.1795370796868
"Vesteraalen","U6",56.941799,-160.822716,1.33,0.87,10.21,31.9456262686567,3.91,7.15536955223881,432.759004179105,14.89
"Vesteraalen","U7",56.775968,-160.834822,8.9,2.39,2.91,293.03,44.94,22.71,238.65,19.58
"Vesteraalen","U8",56.610105,-160.846817,0.1,0,0,5.22,2.15,0,0,1.62
"Vesteraalen","U9",56.444209,-160.858704,0.18,0.86,0,4.56,0.17,6.86,14.25,0
"Vesteraalen","V1",57.759493,-160.292879,0.1,0.03,0.66,0.34,0.07,3.14,6.59,3.29
"Vesteraalen","V2",57.593853,-160.307739,0.14,0.01,0.09,1.36,0.09,4.18,9.27,1.09
"Vesteraalen","V3",57.428187,-160.322461,0.15,0.37,0.33,2.83,0,16.44,6.34,8.13
"Vesteraalen","V4",57.262493,-160.337046,0.1,2.2,0.75,10.1,0,36.61,40.89,17.4
"Vesteraalen","V5",57.096769,-160.351497,0.08,2.01,1.9,4.74,0,14.02,54.13,23.52
"Vesteraalen","V6",56.931016,-160.365815,0.11,1.35,2.57,0.98,3.1,5.8,74.41,2.76
"Vesteraalen","V7",56.765232,-160.380003,0.02,0.26,2.11,1.37,0,7.33,74.62,0.82
"Vesteraalen","V8",56.599416,-160.394061,0,0.63,0.77,2.75,0,5.87,25.34,4.96
"Vesteraalen","V9",56.433566,-160.407993,0.27,0.21,0.04,0.46,0.12,0,4.37,1.03
"Vesteraalen","W1",57.746717,-159.82559,0.06,0,0,0.43,0.28,0.17,4.7,2.54
"Vesteraalen","W2",57.581135,-159.842626,0.01,0.06,0.02,1.17,0.09,0,6.64,0.46
"Vesteraalen","W3",57.415526,-159.859503,0.03,0.16,0.08,1.74,0.03,3.49,3.83,2.5
"Vesteraalen","W4",57.249888,-159.876225,0.02,0.31,0.12,2.09,0.08,1.46,4.38,3.57
"Vesteraalen","W5",57.084221,-159.892792,0.18,1.56,2.49,5.68,0,5.56,54.56,16.37
"Vesteraalen","W6",56.918523,-159.909208,0.09,1.12,1.35,11.52,1.68,3.84,56.06,1.42
"Vesteraalen","W7",56.752794,-159.925473,0.04,2.64,0,9.84,0,2.78,27.45,3.77
"Vesteraalen","W8",56.587032,-159.941591,0.14,0.1,0.1,2.21,0,0.57,0.23,1.12
